,alexa_rank,default_port,domain_age_days,domain_tokens,file_extension,fragment,host,host_len,ips,malicious_url,mxhosts,num_domain_tokens,num_path_tokens,path,path_len,path_tokens,port,query,registered_domain,scheme,tld,url,url_len,alexa_result,age_result,host_len_res,file_ext_result,tld_result,ip_result,geo_result,domain_result,total
10,50,80,2249,"['images', 'neobux', 'com']",,,images.neobux.com,17,"[{'geo': 'US', 'ip': '76.12.180.83', 'type': 'A'}]",0,"[{'mxhost': 'mail.neobux.com', 'ips': [{'geo': 'US', 'ip': '76.12.180.89', 'type': 'A'}]}]",3,3,/imagens/banner9/,17,"['imagens', 'banner9', '']",80,u=magnet5674&u3=2957842,neobux.com,http,com,http://images.neobux.com/imagens/banner9/?u=magnet5674&u3=2957842,65,0,0,0,0,0,0,0,0,0
11,0,80,71,"['www', 'ahorroenergialucense', 'es']",htm,,www.ahorroenergialucense.es,27,,1,NA,3,4,/images/leo/doc/fileindex.htm,29,"['images', 'leo', 'doc', 'fileindex.htm']",80,,ahorroenergialucense.es,http,es,http://www.ahorroenergialucense.es/images/leo/doc/fileindex.htm,63,0,1,0,0,0,0,0,0,1
12,154,80,1812,"['www', 'stumbleupon', 'com']",,,www.stumbleupon.com,19,"[{'geo': 'US', 'ip': '199.30.80.32', 'type': 'A'}]",0,"[{'mxhost': 'alt2.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx2.googlemail.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx3.googlemail.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.26', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.129.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400e:c03:0:0:0:1b', 'type': 'AAAA'}]}, {'mxhost': 'alt1.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1a', 'type': 'AAAA'}]}]",3,2,/submit/visitor,15,"['submit', 'visitor']",80,,stumbleupon.com,http,com,http://www.stumbleupon.com/submit/visitor,41,0,0,0,0,0,0,0,0,0
13,0,80,46,"['www', 'accounting1', 'com', 'au']",htm,,www.accounting1.com.au,22,"[{'geo': 'US', 'ip': '67.215.65.133', 'type': 'A'}]",1,"[{'mxhost': 'mail.accounting1.com.au', 'ips': [{'geo': 'AU', 'ip': '110.142.9.58', 'type': 'A'}]}]",4,1,/rediviewitemnumberdllcgisssl.htm,33,['rediviewitemnumberdllcgisssl.htm'],80,,accounting1.com.au,http,au,http://www.accounting1.com.au/rediviewitemnumberdllcgisssl.htm,62,0,1,0,0,1,0,0,0,2
14,17,80,914,"['service', 'weibo', 'com']",php,,service.weibo.com,17,"[{'geo': 'HK', 'ip': '114.134.80.186', 'type': 'A'}]",0,"[{'mxhost': 'mx.weibo.com', 'ips': [{'geo': 'CN', 'ip': '60.28.228.237', 'type': 'A'}]}]",3,2,/share/share.php,16,"['share', 'share.php']",80,,weibo.com,http,com,http://service.weibo.com/share/share.php,40,0,0,0,0,0,0,0,0,0
15,0,80,5,"['www', 'atelierartelivre', 'com', 'br']",,,www.atelierartelivre.com.br,27,"[{'geo': 'US', 'ip': '74.220.199.9', 'type': 'A'}]",1,NA,4,2,/css/ingnewtong..html,21,"['css', 'ingnewtong..html']",80,,atelierartelivre.com.br,http,br,http://www.atelierartelivre.com.br/css/ingnewtong..html,55,0,1,0,0,1,0,0,0,2
16,23136,80,925,"['col', 'stb01', 's-msn', 'com']",Jpeg,,col.stb01.s-msn.com,19,"[{'geo': None, 'ip': '2.19.138.156', 'type': 'A'}]",0,NA,4,3,/i/6C/BB5DB33D127754AFE4388BBC6E81B.Jpeg,40,"['i', '6C', 'BB5DB33D127754AFE4388BBC6E81B.Jpeg']",80,,s-msn.com,http,com,http://col.stb01.s-msn.com/i/6C/BB5DB33D127754AFE4388BBC6E81B.Jpeg,66,0,0,0,0,0,0,0,0,0
17,7174,80,1578,"['cdn', 'optimizely', 'com']",js,,cdn.optimizely.com,18,"[{'geo': 'US', 'ip': '72.21.91.19', 'type': 'A'}]",0,"[{'mxhost': 'alt1.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'alt2.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx2.googlemail.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx3.googlemail.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.26', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.129.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400e:c03:0:0:0:1b', 'type': 'AAAA'}]}]",3,2,/js/131788053.js,16,"['js', '131788053.js']",80,,optimizely.com,http,com,http://cdn.optimizely.com/js/131788053.js,41,0,0,0,0,0,0,0,0,0
18,43,80,16197,"['www', 'google', 'ru']",js,,www.google.ru,13,"[{'geo': 'US', 'ip': '173.194.33.152', 'type': 'A'}, {'geo': 'US', 'ip': '173.194.33.159', 'type': 'A'}, {'geo': 'US', 'ip': '173.194.33.151', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400a:804:0:0:0:1017', 'type': 'AAAA'}]",0,"[{'mxhost': 'alt1.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'alt2.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'alt3.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.29.26', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400d:c04:0:0:0:1b', 'type': 'AAAA'}]}, {'mxhost': 'alt4.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '173.194.75.26', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400c:c01:0:0:0:1b', 'type': 'AAAA'}]}, {'mxhost': 'aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.129.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400e:c03:0:0:0:1b', 'type': 'AAAA'}]}]",3,3,/textinputassistant/10/ru_tia.js,32,"['textinputassistant', '10', 'ru_tia.js']",80,,google.ru,http,ru,http://www.google.ru/textinputassistant/10/ru_tia.js,52,0,0,0,0,0,0,0,0,0
19,0,80,83,"['bvets', 'com']",php,,bvets.com,9,"[{'geo': 'US', 'ip': '67.215.65.133', 'type': 'A'}]",1,"[{'mxhost': 'filter.bvets.com', 'ips': [{'geo': 'US', 'ip': '67.215.65.133', 'type': 'A'}]}]",2,3,/intl2/update/webscr2.php,25,"['intl2', 'update', 'webscr2.php']",80,cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5a4a8aded97a0b4cddb2df08a5f9bfbdba4a8aded97a0b4cddb2df08a5f9bfbdb,bvets.com,http,com,http://bvets.com/intl2/update/webscr2.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5a4a8aded97a0b4cddb2df08a5f9bfbdba4a8aded97a0b4cddb2df08a5f9bfbdb,198,0,1,0,0,0,0,0,0,1
20,4375,80,5714,"['433', 'adsina', 'allyes', 'com']",,,433.adsina.allyes.com,21,"[{'geo': 'CN', 'ip': '218.30.66.7', 'type': 'A'}]",0,"[{'mxhost': 'owa.allyes.com', 'ips': [{'geo': 'CN', 'ip': '116.246.18.251', 'type': 'A'}]}]",4,2,/main/adfshow,13,"['main', 'adfshow']",80,user=AFP6_for_SINA%7Csports%7Cyayunhuihomehopbanner&db=sina&border=0&local=yes,allyes.com,http,com,http://433.adsina.allyes.com/main/adfshow?user=AFP6_for_SINA%7Csports%7Cyayunhuihomehopbanner&db=sina&border=0&local=yes,120,0,0,0,0,0,0,0,0,0
21,21371,80,771,"['learn-esla', 'googleapps', 'com']",,,learn-esla.googleapps.com,25,"[{'geo': 'US', 'ip': '173.194.79.121', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400e:c04:0:0:0:79', 'type': 'AAAA'}]",0,"[{'mxhost': 'alt2.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.26', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx2.googlemail.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.26', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx3.googlemail.com', 'ips': [{'geo': 'US', 'ip': '74.125.137.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4002:c01:0:0:0:1a', 'type': 'AAAA'}]}, {'mxhost': 'aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.25.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:400e:c02:0:0:0:1b', 'type': 'AAAA'}]}, {'mxhost': 'alt1.aspmx.l.google.com', 'ips': [{'geo': 'US', 'ip': '74.125.142.27', 'type': 'A'}, {'geo': 'US', 'ip': '2607:f8b0:4001:c03:0:0:0:1b', 'type': 'AAAA'}]}]",3,1,/,1,[''],80,,googleapps.com,http,com,http://learn-esla.googleapps.com/,33,0,0,0,0,0,0,0,0,0
22,0,80,82,"['www', 'hellenkeller', 'cl']",,,www.hellenkeller.cl,19,"[{'geo': 'US', 'ip': '66.33.222.192', 'type': 'A'}]",1,NA,3,6,/templates/_ca_cloudbase2_j15/html/mod_poll/cielo_2014/,55,"['templates', '_ca_cloudbase2_j15', 'html', 'mod_poll', 'cielo_2014', '']",80,,hellenkeller.cl,http,cl,http://www.hellenkeller.cl/templates/_ca_cloudbase2_j15/html/mod_poll/cielo_2014/,81,0,1,0,0,1,0,0,0,2
23,0,80,32,"['sportday', 'cl']",,,sportday.cl,11,"[{'geo': 'US', 'ip': '198.24.183.162', 'type': 'A'}]",1,"[{'mxhost': 'sportday.cl', 'ips': [{'geo': 'US', 'ip': '198.24.183.162', 'type': 'A'}]}]",2,2,/doc_filess/,12,"['doc_filess', '']",80,,sportday.cl,http,cl,http://sportday.cl/doc_filess/,30,0,1,0,0,1,0,0,0,2
24,14,80,5647,"['stock', 'finance', 'sina', 'com', 'cn']",html,,stock.finance.sina.com.cn,25,"[{'geo': 'CN', 'ip': '123.126.42.251', 'type': 'A'}]",0,"[{'mxhost': 'freemx3.sinamail.sina.com.cn', 'ips': [{'geo': 'CN', 'ip': '60.28.2.248', 'type': 'A'}]}, {'mxhost': 'freemx.sinamail.sina.com.cn', 'ips': [{'geo': 'CN', 'ip': '202.108.7.19', 'type': 'A'}]}, {'mxhost': 'freemx1.sinamail.sina.com.cn', 'ips': [{'geo': 'CN', 'ip': '202.108.7.19', 'type': 'A'}]}, {'mxhost': 'freemx2.sinamail.sina.com.cn', 'ips': [{'geo': 'CN', 'ip': '218.30.115.106', 'type': 'A'}]}]",5,3,/usstock/quotes/.DJI.html,25,"['usstock', 'quotes', '.DJI.html']",80,,sina.com.cn,http,cn,http://stock.finance.sina.com.cn/usstock/quotes/.DJI.html,57,0,0,0,0,0,0,0,0,0
25,27,80,5785,"['2sc', 'sohu', 'com']",shtml,,2sc.sohu.com,12,"[{'geo': 'CN', 'ip': '220.181.19.151', 'type': 'A'}, {'geo': 'CN', 'ip': '220.181.19.154', 'type': 'A'}]",0,"[{'mxhost': 'sohumx2.sohu.com', 'ips': [{'geo': 'CN', 'ip': '61.135.181.4', 'type': 'A'}]}, {'mxhost': 'sohumx.h.a.sohu.com', 'ips': [{'geo': 'CN', 'ip': '61.135.130.247', 'type': 'A'}]}, {'mxhost': 'sohumx1.sohu.com', 'ips': [{'geo': 'CN', 'ip': '220.181.90.36', 'type': 'A'}]}]",3,1,/404.shtml,10,['404.shtml'],80,,sohu.com,http,com,http://2sc.sohu.com/404.shtml,29,0,0,0,0,0,0,0,0,0
26,0,80,75,"['ristechclub', 'com']",,,ristechclub.com,15,"[{'geo': 'US', 'ip': '209.140.18.236', 'type': 'A'}]",1,"[{'mxhost': 'ristechclub.com', 'ips': [{'geo': 'US', 'ip': '209.140.18.236', 'type': 'A'}]}]",2,2,/diplomation/2013gdocs,22,"['diplomation', '2013gdocs']",80,,ristechclub.com,http,com,http://ristechclub.com/diplomation/2013gdocs,44,0,1,0,0,0,0,0,0,1
27,0,80,-730,"['www', 'iznota', 'com', 'pl']",,,www.iznota.com.pl,17,"[{'geo': 'US', 'ip': '67.215.65.133', 'type': 'A'}]",1,"[{'mxhost': 'iznota.com.pl', 'ips': [{'geo': 'PL', 'ip': '79.96.150.22', 'type': 'A'}]}]",4,4,/112/log/aol/aol,16,"['112', 'log', 'aol', 'aol']",80,,iznota.com.pl,http,pl,http://www.iznota.com.pl/112/log/aol/aol,40,0,1,0,0,1,0,0,0,2
28,147,80,7245,"['feeds', 'theguardian', 'com']",,,feeds.theguardian.com,21,"[{'geo': 'IE', 'ip': '54.228.146.80', 'type': 'A'}]",0,"[{'mxhost': 'guardian.co.uk.s200a1.psmtp.com', 'ips': [{'geo': 'US', 'ip': '207.126.147.10', 'type': 'A'}]}, {'mxhost': 'guardian.co.uk.s200a2.psmtp.com', 'ips': [{'geo': 'US', 'ip': '207.126.147.12', 'type': 'A'}]}, {'mxhost': 'guardian.co.uk.s200b1.psmtp.com', 'ips': [{'geo': 'US', 'ip': '207.126.147.13', 'type': 'A'}]}, {'mxhost': 'guardian.co.uk.s200b2.psmtp.com', 'ips': [{'geo': 'US', 'ip': '207.126.147.14', 'type': 'A'}]}]",3,3,/theguardian/commentisfree/rss,30,"['theguardian', 'commentisfree', 'rss']",80,,theguardian.com,http,com,http://feeds.theguardian.com/theguardian/commentisfree/rss,58,0,0,0,0,0,0,0,0,0
29,30445,80,786,"['www', 'tse', 'or', 'jp']",,,www.tse.or.jp,13,"[{'geo': 'JP', 'ip': '133.208.32.121', 'type': 'A'}]",0,"[{'mxhost': 'cluster9.us.messagelabs.com', 'ips': [{'geo': 'US', 'ip': '216.82.249.35', 'type': 'A'}, {'geo': 'US', 'ip': '216.82.249.51', 'type': 'A'}, {'geo': 'US', 'ip': '216.82.254.35', 'type': 'A'}, {'geo': 'US', 'ip': '216.82.254.51', 'type': 'A'}, {'geo': 'US', 'ip': '216.82.241.83', 'type': 'A'}, {'geo': 'US', 'ip': '216.82.242.19', 'type': 'A'}]}, {'mxhost': 'cluster9a.us.messagelabs.com', 'ips': [{'geo': 'GB', 'ip': '85.158.139.103', 'type': 'A'}, {'geo': 'US', 'ip': '216.82.251.230', 'type': 'A'}]}]",4,1,/,1,[''],80,,tse.or.jp,http,jp,http://www.tse.or.jp/,21,0,0,0,0,0,0,0,0,0
30,0,80,33,"['generationfrsfr', 'com']",php,,generationfrsfr.com,19,"[{'geo': 'VG', 'ip': '208.91.197.241', 'type': 'A'}]",1,NA,2,2,/d620cfafca518ae7c34f88cffdbc526e/sais.php,42,"['d620cfafca518ae7c34f88cffdbc526e', 'sais.php']",80,id=22548896665,generationfrsfr.com,http,com,http://generationfrsfr.com/d620cfafca518ae7c34f88cffdbc526e/sais.php?id=22548896665,83,0,1,0,0,0,0,0,0,1
31,0,80,1580,"['img1', 'tuniucdn', 'com']",css,,img1.tuniucdn.com,17,"[{'geo': 'CN', 'ip': '218.8.51.59', 'type': 'A'}, {'geo': 'CN', 'ip': '113.207.20.171', 'type': 'A'}]",0,NA,3,8,"/s/20140328/common/reset.css,common/layout.css,common/foot.css,index/page_turn.css,common/powerFloat.css",104,"['s', '20140328', 'common', 'reset.css,common', 'layout.css,common', 'foot.css,index', 'page_turn.css,common', 'powerFloat.css']",80,,tuniucdn.com,http,com,"http://img1.tuniucdn.com/s/20140328/common/reset.css,common/layout.css,common/foot.css,index/page_turn.css,common/powerFloat.css",128,0,0,0,0,0,0,0,0,0
32,657313,80,71,"['tartarceg', 'clink', 'biz']",html,,tartarceg.clink.biz,19,,1,"[{'mxhost': 'cluster3a.eu.messagelabs.com', 'ips': [{'geo': 'US', 'ip': '216.82.251.230', 'type': 'A'}, {'geo': 'GB', 'ip': '85.158.139.103', 'type': 'A'}]}, {'mxhost': 'cluster3.eu.messagelabs.com', 'ips': [{'geo': 'GB', 'ip': '194.106.220.35', 'type': 'A'}, {'geo': 'GB', 'ip': '194.106.220.51', 'type': 'A'}, {'geo': 'GB', 'ip': '85.158.136.3', 'type': 'A'}, {'geo': 'GB', 'ip': '85.158.136.35', 'type': 'A'}, {'geo': 'GB', 'ip': '85.158.137.35', 'type': 'A'}, {'geo': 'GB', 'ip': '85.158.137.67', 'type': 'A'}, {'geo': 'GB', 'ip': '85.158.137.83', 'type': 'A'}, {'geo': 'GB', 'ip': '85.158.139.3', 'type': 'A'}]}]",3,2,/1/v1me8yy3j1d5a3x8p9p4u2s.html,31,"['1', 'v1me8yy3j1d5a3x8p9p4u2s.html']",80,,clink.biz,http,biz,http://tartarceg.clink.biz/1/v1me8yy3j1d5a3x8p9p4u2s.html,57,1,1,0,0,1,0,0,0,3
33,35036,80,4923,"['news', 'rti', 'org', 'tw']",,,news.rti.org.tw,15,"[{'geo': 'TW', 'ip': '175.111.255.227', 'type': 'A'}]",0,"[{'mxhost': 'rtimail.rti.org.tw', 'ips': [{'geo': 'TW', 'ip': '210.202.41.233', 'type': 'A'}]}]",4,3,/news/detail/,13,"['news', 'detail', '']",80,recordId=103545,rti.org.tw,http,tw,http://news.rti.org.tw/news/detail/?recordId=103545,51,0,0,0,0,0,0,0,0,0
